"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
0.400,0.36,-0.29,-0.94,0.400,0.36,-0.26,-1.11,0.400,0.39,-0.22,-1.63,0.400,0.30,-0.21,0.20,0.400,0.38,-0.13,-1.48,0.400,0.37,0.01,-1.33,0.400,0.34,0.30,-0.64,0.400,0.37,-0.10,-1.23,0.400,0.38,-0.08,-1.53,0.400,0.25,0.24,1.05,0.400,0.39,-0.15,-1.55,0.400,0.34,0.22,-0.75,0.400,0.25,0.19,1.08,0.400,0.38,0.11,-1.37,0.400,0.32,-0.31,-0.20,0.400,0.24,0.17,1.37,0.400,0.23,-0.13,1.57,0.400,0.36,0.24,-1.02,0.400,0.32,-0.30,-0.32,0.400,0.25,-0.23,1.22
0.440,0.34,-0.32,-0.68,0.440,0.35,-0.30,-0.88,0.440,0.38,-0.28,-1.42,0.440,0.29,-0.19,0.37,0.440,0.37,-0.19,-1.34,0.440,0.37,-0.05,-1.32,0.440,0.35,0.27,-0.88,0.440,0.36,-0.15,-1.12,0.440,0.38,-0.14,-1.44,0.440,0.27,0.28,0.84,0.440,0.38,-0.21,-1.41,0.440,0.35,0.19,-0.92,0.440,0.26,0.23,0.92,0.440,0.38,0.05,-1.43,0.440,0.31,-0.31,0.05,0.440,0.25,0.23,1.21,0.440,0.23,-0.07,1.65,0.440,0.37,0.19,-1.19,0.440,0.31,-0.30,-0.07,0.440,0.24,-0.18,1.38
0.480,0.33,-0.35,-0.40,0.480,0.34,-0.33,-0.63,0.480,0.37,-0.33,-1.17,0.480,0.28,-0.18,0.53,0.480,0.37,-0.24,-1.16,0.480,0.37,-0.10,-1.26,0.480,0.36,0.23,-1.09,0.480,0.36,-0.19,-0.98,0.480,0.37,-0.19,-1.29,0.480,0.28,0.31,0.59,0.480,0.37,-0.26,-1.21,0.480,0.36,0.15,-1.06,0.480,0.27,0.26,0.72,0.480,0.38,0.00,-1.45,0.480,0.29,-0.30,0.30,0.480,0.26,0.27,0.99,0.480,0.23,0.00,1.68,0.480,0.37,0.14,-1.33,0.480,0.30,-0.30,0.18,0.480,0.23,-0.12,1.50
0.520,0.31,-0.36,-0.12,0.520,0.33,-0.35,-0.35,0.520,0.35,-0.37,-0.89,0.520,0.28,-0.15,0.66,0.520,0.35,-0.29,-0.93,0.520,0.37,-0.15,-1.16,0.520,0.37,0.18,-1.25,0.520,0.35,-0.23,-0.81,0.520,0.36,-0.24,-1.11,0.520,0.29,0.33,0.32,0.520,0.36,-0.31,-0.97,0.520,0.36,0.10,-1.16,0.520,0.28,0.29,0.50,0.520,0.38,-0.06,-1.42,0.520,0.28,-0.29,0.54,0.520,0.27,0.31,0.74,0.520,0.23,0.07,1.66,0.520,0.38,0.09,-1.43,0.520,0.29,-0.29,0.42,0.520,0.23,-0.06,1.58
0.560,0.30,-0.36,0.16,0.560,0.31,-0.36,-0.05,0.560,0.34,-0.40,-0.57,0.560,0.27,-0.12,0.77,0.560,0.34,-0.32,-0.69,0.560,0.36,-0.19,-1.02,0.560,0.38,0.13,-1.37,0.560,0.34,-0.26,-0.60,0.560,0.35,-0.28,-0.89,0.560,0.30,0.33,0.05,0.560,0.34,-0.34,-0.71,0.560,0.37,0.05,-1.21,0.560,0.29,0.30,0.26,0.560,0.37,-0.12,-1.34,0.560,0.27,-0.26,0.76,0.560,0.28,0.33,0.48,0.560,0.23,0.13,1.57,0.560,0.38,0.03,-1.48,0.560,0.28,-0.27,0.65,0.560,0.23,0.01,1.60
0.600,0.29,-0.34,0.45,0.600,0.30,-0.36,0.25,0.600,0.32,-0.42,-0.23,0.600,0.27,-0.09,0.85,0.600,0.33,-0.34,-0.42,0.600,0.35,-0.23,-0.84,0.600,0.38,0.07,-1.45,0.600,0.33,-0.28,-0.38,0.600,0.34,-0.31,-0.64,0.600,0.32,0.33,-0.22,0.600,0.33,-0.37,-0.42,0.600,0.37,0.00,-1.24,0.600,0.31,0.31,0.01,0.600,0.37,-0.17,-1.23,0.600,0.26,-0.22,0.97,0.600,0.30,0.35,0.20,0.600,0.24,0.19,1.43,0.600,0.38,-0.03,-1.47,0.600,0.27,-0.24,0.86,0.600,0.23,0.07,1.56
0.640,0.27,-0.32,0.73,0.640,0.28,-0.34,0.54,0.640,0.30,-0.42,0.12,0.640,0.26,-0.05,0.91,0.640,0.31,-0.35,-0.14,0.640,0.34,-0.26,-0.63,0.640,0.38,0.01,-1.48,0.640,0.32,-0.29,-0.15,0.640,0.33,-0.33,-0.37,0.640,0.33,0.32,-0.48,0.640,0.31,-0.38,-0.11,0.640,0.37,-0.05,-1.23,0.640,0.32,0.30,-0.24,0.640,0.36,-0.22,-1.07,0.640,0.25,-0.18,1.14,0.640,0.31,0.35,-0.08,0.640,0.25,0.25,1.24,0.640,0.38,-0.09,-1.41,0.640,0.26,-0.20,1.04,0.640,0.23,0.13,1.47
0.680,0.26,-0.28,0.97,0.680,0.27,-0.31,0.80,0.680,0.29,-0.41,0.46,0.680,0.26,-0.02,0.94,0.680,0.30,-0.35,0.16,0.680,0.33,-0.28,-0.40,0.680,0.38,-0.05,-1.48,0.680,0.30,-0.29,0.09,0.680,0.31,-0.34,-0.10,0.680,0.34,0.29,-0.73,0.680,0.30,-0.37,0.21,0.680,0.37,-0.09,-1.17,0.680,0.33,0.29,-0.49,0.680,0.35,-0.26,-0.88,0.680,0.25,-0.13,1.27,0.680,0.32,0.34,-0.36,0.680,0.26,0.29,1.02,0.680,0.37,-0.15,-1.30,0.680,0.25,-0.15,1.18,0.680,0.24,0.19,1.33
0.720,0.25,-0.24,1.19,0.720,0.26,-0.28,1.04,0.720,0.27,-0.39,0.78,0.720,0.26,0.02,0.94,0.720,0.29,-0.34,0.44,0.720,0.32,-0.29,-0.17,0.720,0.38,-0.11,-1.42,0.720,0.29,-0.28,0.33,0.720,0.30,-0.34,0.18,0.720,0.35,0.26,-0.95,0.720,0.28,-0.36,0.51,0.720,0.36,-0.14,-1.07,0.720,0.34,0.26,-0.72,0.720,0.34,-0.29,-0.65,0.720,0.24,-0.08,1.36,0.720,0.34,0.32,-0.63,0.720,0.27,0.33,0.76,0.720,0.37,-0.20,-1.16,0.720,0.24,-0.10,1.29,0.720,0.25,0.24,1.15
0.760,0.24,-0.19,1.38,0.760,0.25,-0.23,1.25,0.760,0.25,-0.35,1.09,0.760,0.26,0.06,0.90,0.760,0.27,-0.32,0.71,0.760,0.30,-0.30,0.06,0.760,0.37,-0.16,-1.31,0.760,0.28,-0.26,0.56,0.760,0.29,-0.33,0.46,0.760,0.36,0.21,-1.13,0.760,0.27,-0.33,0.79,0.760,0.35,-0.18,-0.93,0.760,0.35,0.23,-0.92,0.760,0.33,-0.31,-0.40,0.760,0.24,-0.02,1.39,0.760,0.35,0.29,-0.87,0.760,0.28,0.36,0.47,0.760,0.36,-0.24,-0.99,0.760,0.24,-0.05,1.35,0.760,0.26,0.28,0.93
0.800,0.23,-0.13,1.51,0.800,0.24,-0.18,1.42,0.800,0.24,-0.30,1.35,0.800,0.27,0.10,0.83,0.800,0.26,-0.28,0.95,0.800,0.29,-0.29,0.30,0.800,0.36,-0.21,-1.15,0.800,0.27,-0.24,0.77,0.800,0.27,-0.31,0.73,0.800,0.37,0.16,-1.29,0.800,0.26,-0.30,1.05,0.800,0.35,-0.22,-0.76,0.800,0.36,0.19,-1.08,0.800,0.31,-0.32,-0.14,0.800,0.24,0.03,1.38,0.800,0.36,0.25,-1.09,0.800,0.30,0.37,0.16,0.800,0.35,-0.28,-0.78,0.800,0.24,0.01,1.37,0.800,0.27,0.32,0.67
0.840,0.23,-0.07,1.58,0.840,0.23,-0.11,1.54,0.840,0.23,-0.24,1.56,0.840,0.27,0.13,0.74,0.840,0.25,-0.24,1.17,0.840,0.28,-0.27,0.53,0.840,0.36,-0.25,-0.96,0.840,0.26,-0.20,0.95,0.840,0.26,-0.27,0.97,0.840,0.38,0.11,-1.40,0.840,0.25,-0.25,1.27,0.840,0.34,-0.24,-0.58,0.840,0.37,0.14,-1.20,0.840,0.30,-0.32,0.13,0.840,0.24,0.09,1.32,0.840,0.37,0.20,-1.28,0.840,0.31,0.37,-0.14,0.840,0.33,-0.30,-0.54,0.840,0.24,0.06,1.33,0.840,0.29,0.34,0.40
0.880,0.23,0.00,1.60,0.880,0.23,-0.05,1.60,0.880,0.22,-0.17,1.72,0.880,0.28,0.16,0.62,0.880,0.24,-0.19,1.35,0.880,0.27,-0.25,0.76,0.880,0.34,-0.29,-0.74,0.880,0.25,-0.16,1.10,0.880,0.25,-0.23,1.16,0.880,0.38,0.05,-1.47,0.880,0.24,-0.19,1.45,0.880,0.33,-0.26,-0.38,0.880,0.37,0.09,-1.29,0.880,0.29,-0.31,0.39,0.880,0.25,0.14,1.23,0.880,0.38,0.14,-1.41,0.880,0.33,0.36,-0.45,0.880,0.32,-0.32,-0.28,0.880,0.25,0.12,1.25,0.880,0.30,0.35,0.12
0.920,0.23,0.06,1.57,0.920,0.23,0.02,1.61,0.920,0.22,-0.10,1.84,0.920,0.28,0.18,0.48,0.920,0.23,-0.13,1.49,0.920,0.26,-0.21,0.95,0.920,0.33,-0.31,-0.48,0.920,0.25,-0.11,1.21,0.920,0.24,-0.18,1.31,0.920,0.38,-0.01,-1.49,0.920,0.23,-0.13,1.59,0.920,0.32,-0.27,-0.15,0.920,0.37,0.04,-1.35,0.920,0.28,-0.29,0.64,0.920,0.25,0.19,1.09,0.920,0.38,0.08,-1.50,0.920,0.34,0.33,-0.73,0.920,0.31,-0.33,-0.01,0.920,0.25,0.16,1.13,0.920,0.31,0.35,-0.15
0.960,0.23,0.13,1.49,0.960,0.23,0.08,1.57,0.960,0.21,-0.02,1.89,0.960,0.29,0.19,0.32,0.960,0.23,-0.07,1.57,0.960,0.25,-0.17,1.10,0.960,0.32,-0.33,-0.21,0.960,0.24,-0.06,1.28,0.960,0.24,-0.12,1.42,0.960,0.38,-0.07,-1.45,0.960,0.23,-0.06,1.67,0.960,0.30,-0.27,0.07,0.960,0.37,-0.02,-1.36,0.960,0.27,-0.26,0.86,0.960,0.26,0.23,0.91,0.960,0.38,0.02,-1.53,0.960,0.36,0.30,-0.99,0.960,0.30,-0.32,0.26,0.960,0.26,0.21,0.98,0.960,0.33,0.34,-0.43
1.000,0.24,0.18,1.36,1.000,0.23,0.14,1.48,1.000,0.22,0.05,1.88,1.000,0.30,0.20,0.15,1.000,0.23,0.00,1.59,1.000,0.25,-0.12,1.21,1.000,0.31,-0.33,0.06,1.000,0.24,-0.01,1.31,1.000,0.23,-0.06,1.51,1.000,0.38,-0.13,-1.36,1.000,0.22,0.00,1.69,1.000,0.29,-0.27,0.30,1.000,0.37,-0.07,-1.32,1.000,0.26,-0.22,1.06,1.000,0.27,0.26,0.70,1.000,0.38,-0.04,-1.53,1.000,0.37,0.25,-1.20,1.000,0.28,-0.31,0.52,1.000,0.27,0.24,0.79,1.000,0.34,0.31,-0.70
1.040,0.25,0.24,1.18,1.040,0.24,0.20,1.33,1.040,0.22,0.13,1.80,1.040,0.31,0.21,-0.01,1.040,0.23,0.06,1.57,1.040,0.24,-0.07,1.29,1.040,0.29,-0.32,0.32,1.040,0.24,0.04,1.29,1.040,0.23,-3.49E-4,1.54,1.040,0.37,-0.18,-1.23,1.040,0.23,0.07,1.65,1.040,0.28,-0.25,0.51,1.040,0.37,-0.13,-1.23,1.040,0.25,-0.17,1.21,1.040,0.28,0.29,0.47,1.040,0.38,-0.10,-1.47,1.040,0.38,0.20,-1.37,1.040,0.27,-0.28,0.75,1.040,0.28,0.27,0.57,1.040,0.35,0.28,-0.95
1.080,0.26,0.28,0.97,1.080,0.25,0.25,1.14,1.080,0.23,0.20,1.65,1.080,0.32,0.20,-0.17,1.080,0.23,0.12,1.48,1.080,0.24,-0.02,1.33,1.080,0.28,-0.30,0.57,1.080,0.25,0.09,1.24,1.080,0.23,0.06,1.52,1.080,0.36,-0.23,-1.06,1.080,0.23,0.14,1.56,1.080,0.27,-0.23,0.71,1.080,0.36,-0.17,-1.10,1.080,0.24,-0.12,1.33,1.080,0.30,0.30,0.22,1.080,0.38,-0.16,-1.37,1.080,0.38,0.14,-1.50,1.080,0.26,-0.25,0.96,1.080,0.29,0.29,0.34,1.080,0.36,0.24,-1.16
1.120,0.27,0.31,0.72,1.120,0.26,0.29,0.91,1.120,0.24,0.26,1.45,1.120,0.32,0.19,-0.33,1.120,0.24,0.18,1.35,1.120,0.24,0.04,1.32,1.120,0.27,-0.28,0.81,1.120,0.25,0.14,1.13,1.120,0.24,0.12,1.45,1.120,0.35,-0.26,-0.87,1.120,0.24,0.20,1.42,1.120,0.26,-0.19,0.88,1.120,0.35,-0.21,-0.93,1.120,0.24,-0.07,1.42,1.120,0.31,0.30,-0.03,1.120,0.37,-0.21,-1.21,1.120,0.39,0.08,-1.58,1.120,0.25,-0.20,1.15,1.120,0.30,0.30,0.09,1.120,0.37,0.18,-1.32
1.160,0.28,0.34,0.45,1.160,0.27,0.32,0.65,1.160,0.25,0.32,1.21,1.160,0.33,0.18,-0.49,1.160,0.25,0.23,1.17,1.160,0.25,0.09,1.26,1.160,0.26,-0.24,1.03,1.160,0.26,0.19,0.99,1.160,0.24,0.18,1.33,1.160,0.34,-0.30,-0.64,1.160,0.25,0.25,1.23,1.160,0.26,-0.15,1.02,1.160,0.35,-0.25,-0.75,1.160,0.24,-0.01,1.45,1.160,0.32,0.30,-0.27,1.160,0.36,-0.26,-1.02,1.160,0.39,0.01,-1.62,1.160,0.24,-0.15,1.30,1.160,0.31,0.30,-0.15,1.160,0.38,0.13,-1.44
1.200,0.30,0.35,0.16,1.200,0.29,0.34,0.38,1.200,0.26,0.36,0.93,1.200,0.34,0.15,-0.64,1.200,0.26,0.28,0.95,1.200,0.25,0.14,1.17,1.200,0.25,-0.19,1.21,1.200,0.27,0.22,0.82,1.200,0.25,0.23,1.15,1.200,0.33,-0.32,-0.39,1.200,0.26,0.30,0.99,1.200,0.25,-0.11,1.13,1.200,0.33,-0.27,-0.55,1.200,0.24,0.05,1.43,1.200,0.33,0.28,-0.50,1.200,0.35,-0.29,-0.79,1.200,0.39,-0.05,-1.60,1.200,0.24,-0.10,1.40,1.200,0.33,0.29,-0.38,1.200,0.38,0.07,-1.51
1.240,0.31,0.35,-0.12,1.240,0.30,0.35,0.09,1.240,0.28,0.39,0.61,1.240,0.34,0.12,-0.75,1.240,0.27,0.31,0.71,1.240,0.26,0.18,1.04,1.240,0.24,-0.14,1.35,1.240,0.28,0.25,0.62,1.240,0.26,0.27,0.93,1.240,0.31,-0.33,-0.12,1.240,0.27,0.33,0.72,1.240,0.25,-0.06,1.21,1.240,0.32,-0.29,-0.32,1.240,0.24,0.11,1.36,1.240,0.34,0.26,-0.73,1.240,0.33,-0.32,-0.54,1.240,0.38,-0.12,-1.53,1.240,0.24,-0.04,1.45,1.240,0.34,0.27,-0.60,1.240,0.38,0.01,-1.54
1.280,0.33,0.34,-0.41,1.280,0.32,0.35,-0.20,1.280,0.29,0.41,0.27,1.280,0.35,0.09,-0.83,1.280,0.28,0.33,0.44,1.280,0.26,0.22,0.86,1.280,0.24,-0.08,1.44,1.280,0.29,0.27,0.40,1.280,0.27,0.31,0.67,1.280,0.30,-0.33,0.14,1.280,0.28,0.36,0.43,1.280,0.25,-0.01,1.24,1.280,0.31,-0.30,-0.07,1.280,0.25,0.16,1.25,1.280,0.35,0.22,-0.93,1.280,0.32,-0.34,-0.27,1.280,0.38,-0.18,-1.41,1.280,0.24,0.02,1.46,1.280,0.35,0.24,-0.81,1.280,0.38,-0.06,-1.53
1.320,0.34,0.32,-0.68,1.320,0.33,0.34,-0.49,1.320,0.31,0.41,-0.08,1.320,0.35,0.06,-0.88,1.320,0.30,0.35,0.17,1.320,0.27,0.25,0.65,1.320,0.23,-0.02,1.48,1.320,0.30,0.28,0.17,1.320,0.29,0.33,0.41,1.320,0.29,-0.32,0.41,1.320,0.30,0.37,0.14,1.320,0.25,0.04,1.23,1.320,0.30,-0.30,0.19,1.320,0.25,0.21,1.09,1.320,0.36,0.18,-1.09,1.320,0.31,-0.34,0.00,1.320,0.37,-0.23,-1.24,1.320,0.24,0.08,1.41,1.320,0.36,0.20,-0.99,1.320,0.38,-0.12,-1.46
1.360,0.35,0.29,-0.92,1.360,0.34,0.31,-0.76,1.360,0.33,0.40,-0.41,1.360,0.35,0.02,-0.92,1.360,0.31,0.35,-0.11,1.360,0.29,0.28,0.43,1.360,0.23,0.04,1.47,1.360,0.31,0.29,-0.06,1.360,0.30,0.34,0.15,1.360,0.27,-0.29,0.67,1.360,0.31,0.37,-0.16,1.360,0.25,0.09,1.17,1.360,0.29,-0.29,0.43,1.360,0.26,0.25,0.88,1.360,0.37,0.14,-1.21,1.360,0.29,-0.34,0.28,1.360,0.36,-0.28,-1.04,1.360,0.24,0.13,1.32,1.360,0.36,0.16,-1.14,1.360,0.37,-0.17,-1.33
