"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
0.640,0.27,-0.20,0.50,0.640,0.33,-0.30,-0.54,0.640,0.31,0.24,-0.28,0.640,0.23,-0.05,1.41,0.640,0.32,-0.31,-0.33,0.640,0.29,0.25,0.02,0.640,0.25,0.21,0.91,0.640,0.23,0.05,1.26,0.640,0.36,-0.02,-1.22,0.640,0.27,-0.26,0.47,0.640,0.26,-0.18,0.70,0.640,0.36,-0.06,-1.30,0.640,0.24,0.08,1.17,0.640,0.22,0.08,1.42,0.640,0.35,0.20,-0.99,0.640,0.29,0.27,0.01,0.640,0.23,-0.08,1.37,0.640,0.33,0.23,-0.56,0.640,0.25,-0.23,0.85,0.640,0.23,-0.03,1.37
0.680,0.26,-0.18,0.65,0.680,0.31,-0.32,-0.29,0.680,0.32,0.22,-0.46,0.680,0.22,0.00,1.43,0.680,0.30,-0.32,-0.08,0.680,0.30,0.24,-0.17,0.680,0.26,0.24,0.72,0.680,0.24,0.10,1.20,0.680,0.36,-0.06,-1.19,0.680,0.26,-0.24,0.66,0.680,0.25,-0.14,0.83,0.680,0.36,-0.11,-1.21,0.680,0.24,0.13,1.08,0.680,0.23,0.14,1.31,0.680,0.35,0.16,-1.12,0.680,0.31,0.26,-0.20,0.680,0.23,-0.03,1.41,0.680,0.33,0.21,-0.73,0.680,0.25,-0.19,1.01,0.680,0.23,0.03,1.37
0.720,0.26,-0.15,0.79,0.720,0.30,-0.33,-0.04,0.720,0.33,0.20,-0.63,0.720,0.23,0.06,1.40,0.720,0.29,-0.32,0.18,0.720,0.31,0.23,-0.35,0.720,0.27,0.27,0.52,0.720,0.24,0.15,1.11,0.720,0.35,-0.11,-1.11,0.720,0.25,-0.21,0.83,0.720,0.25,-0.11,0.94,0.720,0.35,-0.16,-1.09,0.720,0.25,0.17,0.95,0.720,0.24,0.19,1.17,0.720,0.36,0.11,-1.22,0.720,0.32,0.25,-0.39,0.720,0.23,0.03,1.41,0.720,0.34,0.17,-0.88,0.720,0.24,-0.15,1.15,0.720,0.23,0.08,1.32
0.760,0.25,-0.12,0.90,0.760,0.29,-0.32,0.22,0.760,0.34,0.17,-0.79,0.760,0.23,0.12,1.32,0.760,0.28,-0.31,0.43,0.760,0.32,0.22,-0.53,0.760,0.28,0.29,0.30,0.760,0.25,0.19,0.97,0.760,0.35,-0.15,-0.99,0.760,0.25,-0.17,0.98,0.760,0.25,-0.07,1.02,0.760,0.35,-0.20,-0.95,0.760,0.25,0.21,0.79,0.760,0.24,0.23,1.00,0.760,0.36,0.06,-1.29,0.760,0.33,0.23,-0.57,0.760,0.23,0.09,1.35,0.760,0.35,0.14,-1.00,0.760,0.23,-0.10,1.25,0.760,0.23,0.14,1.22
0.800,0.25,-0.08,0.97,0.800,0.27,-0.31,0.47,0.800,0.34,0.14,-0.91,0.800,0.24,0.17,1.19,0.800,0.26,-0.28,0.66,0.800,0.33,0.19,-0.69,0.800,0.29,0.29,0.08,0.800,0.26,0.23,0.78,0.800,0.34,-0.19,-0.85,0.800,0.24,-0.13,1.11,0.800,0.24,-0.03,1.05,0.800,0.34,-0.24,-0.78,0.800,0.26,0.24,0.61,0.800,0.25,0.27,0.79,0.800,0.36,0.01,-1.31,0.800,0.33,0.20,-0.73,0.800,0.23,0.14,1.24,0.800,0.35,0.09,-1.09,0.800,0.23,-0.04,1.30,0.800,0.24,0.18,1.08
0.840,0.25,-0.04,1.01,0.840,0.26,-0.28,0.70,0.840,0.35,0.10,-0.99,0.840,0.24,0.21,1.03,0.840,0.25,-0.25,0.86,0.840,0.34,0.16,-0.84,0.840,0.30,0.29,-0.15,0.840,0.27,0.25,0.58,0.840,0.33,-0.22,-0.69,0.840,0.24,-0.08,1.20,0.840,0.24,0.02,1.05,0.840,0.33,-0.27,-0.58,0.840,0.27,0.26,0.41,0.840,0.27,0.30,0.56,0.840,0.36,-0.05,-1.29,0.840,0.34,0.17,-0.88,0.840,0.24,0.19,1.09,0.840,0.36,0.05,-1.14,0.840,0.23,0.01,1.29,0.840,0.25,0.22,0.91
0.880,0.24,0.00,1.02,0.880,0.25,-0.25,0.92,0.880,0.35,0.06,-1.05,0.880,0.25,0.25,0.83,0.880,0.24,-0.21,1.05,0.880,0.34,0.12,-0.94,0.880,0.32,0.28,-0.38,0.880,0.28,0.27,0.37,0.880,0.32,-0.25,-0.51,0.880,0.23,-0.03,1.25,0.880,0.25,0.06,1.01,0.880,0.32,-0.29,-0.35,0.880,0.28,0.27,0.20,0.880,0.28,0.32,0.31,0.880,0.36,-0.10,-1.23,0.880,0.35,0.13,-1.00,0.880,0.25,0.23,0.93,0.880,0.36,-2.55E-4,-1.15,0.880,0.23,0.06,1.25,0.880,0.26,0.26,0.72
0.920,0.25,0.05,1.00,0.920,0.24,-0.21,1.10,0.920,0.35,0.01,-1.07,0.920,0.26,0.28,0.62,0.920,0.24,-0.17,1.20,0.920,0.35,0.08,-1.02,0.920,0.33,0.26,-0.60,0.920,0.29,0.28,0.16,0.920,0.31,-0.26,-0.31,0.920,0.23,0.02,1.24,0.920,0.25,0.10,0.94,0.920,0.31,-0.29,-0.12,0.920,0.30,0.27,-0.01,0.920,0.29,0.32,0.06,0.920,0.36,-0.15,-1.14,0.920,0.35,0.09,-1.09,0.920,0.26,0.26,0.74,0.920,0.36,-0.05,-1.12,0.920,0.24,0.11,1.18,0.920,0.27,0.28,0.51
0.960,0.25,0.09,0.95,0.960,0.23,-0.16,1.25,0.960,0.35,-0.03,-1.06,0.960,0.28,0.30,0.39,0.960,0.23,-0.12,1.31,0.960,0.35,0.04,-1.06,0.960,0.34,0.23,-0.80,0.960,0.30,0.29,-0.06,0.960,0.30,-0.27,-0.09,0.960,0.24,0.07,1.19,0.960,0.25,0.13,0.84,0.960,0.29,-0.29,0.11,0.960,0.31,0.27,-0.22,0.960,0.31,0.32,-0.19,0.960,0.35,-0.19,-1.00,0.960,0.36,0.04,-1.14,0.960,0.27,0.29,0.52,0.960,0.35,-0.09,-1.07,0.960,0.24,0.15,1.08,0.960,0.28,0.30,0.28
1.000,0.25,0.12,0.86,1.000,0.23,-0.11,1.36,1.000,0.35,-0.07,-1.03,1.000,0.29,0.31,0.15,1.000,0.23,-0.06,1.38,1.000,0.35,0.00,-1.07,1.000,0.35,0.20,-0.96,1.000,0.31,0.28,-0.28,1.000,0.29,-0.27,0.13,1.000,0.24,0.11,1.11,1.000,0.26,0.17,0.72,1.000,0.28,-0.29,0.33,1.000,0.32,0.26,-0.42,1.000,0.32,0.31,-0.44,1.000,0.34,-0.23,-0.83,1.000,0.36,0.00,-1.15,1.000,0.28,0.30,0.29,1.000,0.35,-0.13,-0.98,1.000,0.25,0.20,0.94,1.000,0.29,0.30,0.04
1.040,0.26,0.15,0.74,1.040,0.23,-0.05,1.42,1.040,0.35,-0.11,-0.96,1.040,0.30,0.31,-0.10,1.040,0.23,0.00,1.40,1.040,0.35,-0.04,-1.05,1.040,0.35,0.16,-1.08,1.040,0.32,0.26,-0.49,1.040,0.28,-0.26,0.34,1.040,0.24,0.16,1.00,1.040,0.27,0.19,0.58,1.040,0.27,-0.27,0.55,1.040,0.33,0.23,-0.61,1.040,0.33,0.29,-0.67,1.040,0.33,-0.26,-0.63,1.040,0.36,-0.05,-1.13,1.040,0.29,0.31,0.04,1.040,0.34,-0.17,-0.86,1.040,0.26,0.23,0.76,1.040,0.31,0.30,-0.21
1.080,0.27,0.18,0.61,1.080,0.22,0.01,1.42,1.080,0.34,-0.15,-0.86,1.080,0.31,0.30,-0.34,1.080,0.23,0.05,1.37,1.080,0.35,-0.09,-0.99,1.080,0.36,0.11,-1.18,1.080,0.33,0.24,-0.69,1.080,0.27,-0.24,0.54,1.080,0.25,0.19,0.87,1.080,0.27,0.21,0.41,1.080,0.26,-0.24,0.76,1.080,0.34,0.21,-0.78,1.080,0.34,0.25,-0.88,1.080,0.32,-0.28,-0.42,1.080,0.35,-0.09,-1.06,1.080,0.31,0.31,-0.20,1.080,0.33,-0.20,-0.70,1.080,0.27,0.26,0.56,1.080,0.32,0.29,-0.44
1.120,0.27,0.20,0.45,1.120,0.23,0.06,1.39,1.120,0.33,-0.18,-0.71,1.120,0.32,0.29,-0.57,1.120,0.23,0.11,1.30,1.120,0.34,-0.13,-0.91,1.120,0.36,0.06,-1.26,1.120,0.34,0.21,-0.87,1.120,0.26,-0.22,0.72,1.120,0.26,0.23,0.70,1.120,0.28,0.23,0.24,1.120,0.25,-0.21,0.94,1.120,0.34,0.17,-0.93,1.120,0.35,0.21,-1.05,1.120,0.31,-0.29,-0.19,1.120,0.35,-0.13,-0.96,1.120,0.32,0.29,-0.44,1.120,0.33,-0.23,-0.53,1.120,0.28,0.28,0.34,1.120,0.33,0.26,-0.66
1.160,0.28,0.22,0.28,1.160,0.23,0.12,1.31,1.160,0.33,-0.21,-0.55,1.160,0.34,0.26,-0.78,1.160,0.24,0.16,1.19,1.160,0.34,-0.16,-0.79,1.160,0.36,0.01,-1.29,1.160,0.35,0.17,-1.01,1.160,0.25,-0.19,0.88,1.160,0.27,0.25,0.50,1.160,0.29,0.23,0.06,1.160,0.24,-0.16,1.07,1.160,0.35,0.13,-1.05,1.160,0.36,0.17,-1.20,1.160,0.30,-0.29,0.05,1.160,0.34,-0.17,-0.84,1.160,0.33,0.27,-0.67,1.160,0.32,-0.24,-0.34,1.160,0.29,0.29,0.12,1.160,0.34,0.23,-0.85
1.200,0.29,0.23,0.10,1.200,0.24,0.17,1.19,1.200,0.32,-0.22,-0.37,1.200,0.35,0.22,-0.97,1.200,0.24,0.20,1.04,1.200,0.33,-0.19,-0.65,1.200,0.36,-0.04,-1.27,1.200,0.35,0.12,-1.12,1.200,0.25,-0.15,1.01,1.200,0.28,0.27,0.29,1.200,0.30,0.23,-0.12,1.200,0.24,-0.12,1.18,1.200,0.35,0.09,-1.12,1.200,0.36,0.12,-1.31,1.200,0.28,-0.29,0.27,1.200,0.33,-0.20,-0.70,1.200,0.34,0.24,-0.86,1.200,0.31,-0.25,-0.15,1.200,0.30,0.29,-0.11,1.200,0.35,0.20,-1.00
1.240,0.30,0.23,-0.08,1.240,0.24,0.21,1.03,1.240,0.31,-0.24,-0.20,1.240,0.35,0.18,-1.13,1.240,0.25,0.24,0.85,1.240,0.32,-0.21,-0.49,1.240,0.36,-0.09,-1.20,1.240,0.36,0.08,-1.20,1.240,0.24,-0.10,1.11,1.240,0.29,0.28,0.08,1.240,0.31,0.22,-0.30,1.240,0.23,-0.07,1.26,1.240,0.36,0.04,-1.16,1.240,0.37,0.06,-1.38,1.240,0.27,-0.27,0.49,1.240,0.33,-0.23,-0.53,1.240,0.35,0.20,-1.03,1.240,0.30,-0.26,0.05,1.240,0.31,0.28,-0.33,1.240,0.36,0.15,-1.13
1.280,0.31,0.22,-0.26,1.280,0.25,0.25,0.84,1.280,0.30,-0.24,-0.01,1.280,0.36,0.13,-1.25,1.280,0.26,0.27,0.65,1.280,0.31,-0.23,-0.32,1.280,0.35,-0.14,-1.10,1.280,0.36,0.03,-1.23,1.280,0.24,-0.06,1.17,1.280,0.30,0.27,-0.14,1.280,0.32,0.21,-0.46,1.280,0.23,-0.02,1.30,1.280,0.36,-0.01,-1.17,1.280,0.37,0.01,-1.41,1.280,0.26,-0.25,0.69,1.280,0.32,-0.25,-0.33,1.280,0.36,0.16,-1.17,1.280,0.29,-0.25,0.25,1.280,0.32,0.26,-0.54,1.280,0.36,0.11,-1.23
1.320,0.32,0.21,-0.43,1.320,0.26,0.28,0.62,1.320,0.29,-0.24,0.18,1.320,0.36,0.08,-1.32,1.320,0.27,0.29,0.43,1.320,0.30,-0.24,-0.13,1.320,0.35,-0.18,-0.97,1.320,0.36,-0.02,-1.23,1.320,0.24,-0.01,1.19,1.320,0.31,0.26,-0.36,1.320,0.33,0.18,-0.62,1.320,0.23,0.04,1.28,1.320,0.36,-0.05,-1.15,1.320,0.37,-0.05,-1.38,1.320,0.25,-0.22,0.88,1.320,0.31,-0.25,-0.13,1.320,0.36,0.11,-1.27,1.320,0.28,-0.24,0.45,1.320,0.33,0.23,-0.72,1.320,0.36,0.05,-1.30
1.360,0.33,0.19,-0.58,1.360,0.28,0.30,0.39,1.360,0.28,-0.23,0.37,1.360,0.37,0.02,-1.35,1.360,0.29,0.31,0.19,1.360,0.29,-0.24,0.06,1.360,0.34,-0.22,-0.81,1.360,0.36,-0.07,-1.20,1.360,0.24,0.04,1.17,1.360,0.32,0.24,-0.56,1.360,0.34,0.16,-0.75,1.360,0.23,0.09,1.22,1.360,0.35,-0.10,-1.09,1.360,0.37,-0.11,-1.30,1.360,0.24,-0.18,1.05,1.360,0.29,-0.26,0.06,1.360,0.37,0.05,-1.33,1.360,0.27,-0.21,0.64,1.360,0.34,0.20,-0.88,1.360,0.37,-3.92E-5,-1.32
